id;fecha_audit;tipo_crud;id_cliente;id_u_suario
1;Toallas Zapatos;Aplicaciones Portugal 24/7;10576;22969
2;Informática Vasco;Coche Tácticas Intranet;25447;4781
3;Artesanal Granito;Violeta Agente Datos;2165;29644
4;Inteligente Gerente Rojo;Mascotas política;26323;537
5;analizada Valenciana Pequeño;Cantabria;3988;26516
6;Coche Supervisor Relacciones;Mascotas Adelante Productor;24331;2754
7;Gris;Cataluña Bicicleta;22086;13971
8;Bernardo;Metal Blanco Sergio;10116;19439
9;Violeta radical Rojo;Guantes;26895;10811
10;Papelería;Sopa Integración Violeta;15198;27251
