id;cantidad;fecha_entrada;lote;estado;notas
1;2298;2023-08-09;Enfocado;Oficial Práctico Italia;definición
2;19035;2023-08-09;Normas Distrito;en Negro Pequeño;Facilitador Morado
3;17899;2023-08-10;Algodón Adelante;estandardización Mascotas Aplicaciones;secundaria
4;7995;2023-08-09;Hong;Algodón;Verde Grupo
5;4561;2023-08-10;discreta;Rojo Pantalones Madera;flexibilidad
6;14629;2023-08-09;Optimización Tácticas Francia;Morado Regional Negro;Morado
7;31473;2023-08-09;Morado Mónaco Especialista;infraestructura Soluciones;moderador
8;32491;2023-08-09;Parafarmacia Azul Jefe;Senior Interacciones;Rojo
9;4206;2023-08-09;Blanco Azul Comodos;logística;el
10;10562;2023-08-09;Usabilidad;Sopa Heredado;Blanco Seychelles
