id;fecha_audit;tipo_crud;id_producto;id_u_suario
1;Navarra;Acero Técnico;21544;23846
2;bidireccional Galicia;Guapa Bricolaje Ejecutivo;8232;29177
3;Algodón Datos;capacidad Acero Gambia;30792;30740
4;contenido Práctico Director;Calidad Marroquinería;10468;26154
5;la;Sopa Web;3736;12595
6;Infraestructura Negro Director;Patatas Web;26814;1656
7;Comunicaciones Cine Inteligente;Violeta Facilitador Sabroso;1792;5285
8;Patatas Coordinador Granito;Bacon Gris Senior;10800;4559
9;Verde Gris Técnico;Violeta Violeta Desarrollador;4543;18158
10;Ingeniero Senior Puerto;intermedia Sudán Lugar;19886;26110
