id;descipcion;nombre;precio_u;precio_c;notas;estado_producto;fecha_registro;fecha_caducidad
1;Arquitecto;Martinica;26028;19304;Pollo;Extremadura Blanco;Auto International amplio;Algodón Sabroso
2;Descentralizado;Analista Rusia;3765;7820;Rústico;Marca Azul;Bricolaje;Asociado Director
3;Negro acceso Papelería;Madera proyecto;4276;7475;Moda Cuba;presupuestaria;Distrito de División;Amarillo
4;Algodón metodologías Ingeniero;Negro;24718;31759;Baleares;Mascotas Virtual;Blanco Contabilidad Morado;Extremadura Aplicaciones Coche
5;bifurcada Música;Técnico Turquia;1481;31816;Blanco Librería Cataluña;Directo Coordinador Alicia;Lorenzo Producto Hormigon;Guapa
6;Ergonómico;explícita Integración;23197;1940;array codificar;Artesanal Librería Silla;Pelota Configuración productividad;Sopa Organizado
7;Ordenador;Dinánmico radical;16053;4052;de encriptar Pelota;Cataluña León Negro;Comunidad Total Salida;Violeta
8;Decoración Valenciana Bicicleta;Adelante Teclado;21634;23753;Guapo Gerente Negro;Diseñador Madrid;Amarillo Andorra Verde;Deportes
9;Bajada;Cuentas arquitectura;14217;26112;Azul Grupo;Jefe Madera País;presupuestaria Director Seguro;nivel Administrador Gerente
10;Monroy Director aprovechar;Desarrollador generación Desarrollador;3302;26386;Estratega;Inverso Administrador;móbil China Monitorizado;Navarra Electrónica Canarias
