id;fecha_audit;tipo_crud;id_proveedor;id_u_suario
1;Central proceso;Analista Extremadura;24847;26769
2;Gris;Bosnia Aragón;23622;168
3;Configurable Extremadura Humano;Pantalones;4739;30496
4;Ladrillo Diverso;núcleo Música;29846;15268
5;Leona;Sancho Ladrillo;25018;12138
6;Acero;orquestar Descentralizado Cantabria;8077;22352
7;Fundamental Extremadura;Suriname Verde generación;26853;12459
8;Blanco Intranet;Productor;6595;24082
9;Sopa;Barrio;8247;12104
10;Camiseta Genérico Acero;analizada Regional Salchichas;29098;11922
