id;direccion;nombre_contacto;nombre_empresa;notas;sitio_web;telefono_fijo;telefono_fijo_2;telefono_movil;telefono_movil_2
1;Técnico Marroquinería;inversa;Elvira;Granito;Elvira en;8049;22978;25032;23555
2;Grupo migración Municipio;Ladrillo Acero Salud;Cuesta Gris Analista;de móbil Raton;Contabilidad Azul;32257;7271;21204;14136
3;Director Algodón Coche;Blanco Metal Puerta;Luxemburgo Parafarmacia Liberia;Representante;Verónica;30099;2944;13857;20583
4;Director Negro;Negro;Directo Adelante;Amarillo Marroquinería Mascotas;Distrito Cuba;21217;3843;22421;29585
5;Práctico Joyería;Entrada;misión;Consultor Humano;Blanco;15033;26444;27535;20152
6;Supervisor Verde;Metal encriptar Artesanal;Mauritania Guapa;Facilitador;Guapa Verde;6966;26080;9570;26542
7;Ladrillo hardware Queso;Asistente Inversor;Madera Salchichas;Urbanización;Consultor;2251;8539;29734;1767
8;Reducido Cliente Ordenador;Canarias;Madrid;Plástico Técnico;Acero;17255;875;3725;15324
9;usuario;Octavio Actualizable Metal;Bahamas;Morado;Calidad Algodón optimizada;19496;6365;20960;11889
10;Tácticas Serbia;Suriname Marroquinería fritas;Macedonia Rústico Fantástico;Aplicaciones;Infraestructura Rojo;28616;16990;1026;11297
